fare_id,route_id,origin_id,destination_id
15,1,P0001601_T,P0002PEP_A
15,1,P0001601_T,P0003PEP_A
15,1,P0001601_T,P0146PEP_A
15,1,P0001601_T,P0147PEP_A
15,1,P0001601_T,P0283PEP_A
15,1,P0001601_T,P0288PEP_A
15,1,P0001601_T,P0323213_T
15,1,P0001601_T,P0384PEP_C
15,1,P0001601_T,P0395PEP_A
15,1,P0001601_T,P0640PEP_A
15,1,P0002PEP_A,P0003PEP_A
15,1,P0002PEP_A,P0146PEP_A
15,1,P0002PEP_A,P0147PEP_A
15,1,P0002PEP_A,P0283PEP_A
15,1,P0002PEP_A,P0288PEP_A
15,1,P0002PEP_A,P0384PEP_C
15,1,P0002PEP_A,P0395PEP_A
15,1,P0002PEP_A,P0640PEP_A
15,1,P0003PEP_A,P0146PEP_A
15,1,P0003PEP_A,P0147PEP_A
15,1,P0003PEP_A,P0283PEP_A
15,1,P0003PEP_A,P0288PEP_A
15,1,P0003PEP_A,P0384PEP_C
15,1,P0003PEP_A,P0395PEP_A
15,1,P0003PEP_A,P0640PEP_A
15,1,P0146PEP_A,P0147PEP_A
15,1,P0146PEP_A,P0384PEP_C
15,1,P0146PEP_A,P0395PEP_A
15,1,P0146PEP_A,P0640PEP_A
15,1,P0147PEP_A,P0384PEP_C
15,1,P0147PEP_A,P0395PEP_A
15,1,P0147PEP_A,P0640PEP_A
15,1,P0283PEP_A,P0146PEP_A
15,1,P0283PEP_A,P0147PEP_A
15,1,P0283PEP_A,P0384PEP_C
15,1,P0283PEP_A,P0395PEP_A
15,1,P0283PEP_A,P0640PEP_A
15,1,P0288PEP_A,P0146PEP_A
15,1,P0288PEP_A,P0147PEP_A
15,1,P0288PEP_A,P0283PEP_A
15,1,P0288PEP_A,P0384PEP_C
15,1,P0288PEP_A,P0395PEP_A
15,1,P0288PEP_A,P0640PEP_A
15,1,P0323213_T,P0002PEP_A
15,1,P0323213_T,P0003PEP_A
15,1,P0323213_T,P0146PEP_A
15,1,P0323213_T,P0147PEP_A
15,1,P0323213_T,P0283PEP_A
15,1,P0323213_T,P0288PEP_A
15,1,P0323213_T,P0384PEP_C
15,1,P0323213_T,P0395PEP_A
15,1,P0323213_T,P0640PEP_A
15,1,P0384PEP_C,P0430PEP_A
15,1,P0384PEP_C,P0431PEP_A
15,1,P0384PEP_C,P0432PEP_A
15,1,P0384PEP_C,P0433PEP_A
15,1,P0384PEP_C,P0434PEP_A
15,1,P0384PEP_C,P0435PEP_A
15,1,P0384PEP_C,P0436PEP_A
15,1,P0384PEP_C,P0437PEP_A
15,1,P0384PEP_C,P0439PEP_A
15,1,P0384PEP_C,P0647PEP_A
15,1,P0395PEP_A,P0384PEP_C
15,1,P0395PEP_A,P0640PEP_A
15,1,P0430PEP_A,P0431PEP_A
15,1,P0430PEP_A,P0432PEP_A
15,1,P0430PEP_A,P0433PEP_A
15,1,P0430PEP_A,P0434PEP_A
15,1,P0430PEP_A,P0435PEP_A
15,1,P0430PEP_A,P0436PEP_A
15,1,P0430PEP_A,P0437PEP_A
15,1,P0430PEP_A,P0439PEP_A
15,1,P0430PEP_A,P0647PEP_A
15,1,P0431PEP_A,P0432PEP_A
15,1,P0431PEP_A,P0433PEP_A
15,1,P0431PEP_A,P0434PEP_A
15,1,P0431PEP_A,P0435PEP_A
15,1,P0431PEP_A,P0436PEP_A
15,1,P0431PEP_A,P0437PEP_A
15,1,P0431PEP_A,P0439PEP_A
15,1,P0431PEP_A,P0647PEP_A
15,1,P0432PEP_A,P0433PEP_A
15,1,P0432PEP_A,P0434PEP_A
15,1,P0432PEP_A,P0435PEP_A
15,1,P0432PEP_A,P0436PEP_A
15,1,P0432PEP_A,P0437PEP_A
15,1,P0432PEP_A,P0439PEP_A
15,1,P0432PEP_A,P0647PEP_A
15,1,P0433PEP_A,P0434PEP_A
15,1,P0433PEP_A,P0435PEP_A
15,1,P0433PEP_A,P0436PEP_A
15,1,P0433PEP_A,P0437PEP_A
15,1,P0433PEP_A,P0439PEP_A
15,1,P0433PEP_A,P0647PEP_A
15,1,P0434PEP_A,P0435PEP_A
15,1,P0434PEP_A,P0436PEP_A
15,1,P0434PEP_A,P0437PEP_A
15,1,P0434PEP_A,P0439PEP_A
15,1,P0434PEP_A,P0647PEP_A
15,1,P0435PEP_A,P0436PEP_A
15,1,P0435PEP_A,P0437PEP_A
15,1,P0435PEP_A,P0439PEP_A
15,1,P0435PEP_A,P0647PEP_A
15,1,P0436PEP_A,P0437PEP_A
15,1,P0436PEP_A,P0439PEP_A
15,1,P0436PEP_A,P0647PEP_A
15,1,P0437PEP_A,P0439PEP_A
15,1,P0437PEP_A,P0647PEP_A
15,1,P0439PEP_A,P0647PEP_A
15,1,P0640PEP_A,P0384PEP_C
