trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
3　Weekday/Weekend_0400_trip10502001,04:00:00,04:00:00,P4035607_T,1,Anjo Voador (601),0,1
3　Weekday/Weekend_0400_trip10502001,04:00:00,04:00:00,P0658PEP_B,2,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,04:01:00,04:01:00,P0657PEP_B,3,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,04:01:00,04:01:00,P0426PEP_B,4,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,04:02:00,04:02:00,P0656PEP_B,5,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,04:03:00,04:03:00,P0655PEP_B,6,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,04:03:00,04:03:00,P0654PEP_A,7,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,04:07:00,04:07:00,P4031PEP_B,8,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,04:15:00,04:15:00,P4029PEP_B,9,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,04:24:00,04:24:00,P4028PEP_B,10,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,04:28:00,04:28:00,P0420PEP_B,11,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,04:39:00,04:39:00,P0653PEP_A,12,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:05:00,05:05:00,P4025PEP_B,13,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:13:00,05:13:00,P4024PEP_B,14,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:15:00,05:15:00,P4023PEP_B,15,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:17:00,05:17:00,P0652PEP_A,16,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:23:00,05:23:00,P4022PEP_B,17,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:24:00,05:24:00,P4021PEP_B,18,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:25:00,05:25:00,P0651PEP_A,19,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:26:00,05:26:00,P4020PEP_B,20,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:30:00,05:30:00,P4019PEP_B,21,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:33:00,05:33:00,P0650PEP_A,22,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:34:00,05:34:00,P4017PEP_B,23,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:39:00,05:39:00,P4016PEP_B,24,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:41:00,05:41:00,P0410PEP_B,25,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:42:00,05:42:00,P4013PEP_B,26,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:45:00,05:45:00,P4012PEP_B,27,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:50:00,05:50:00,P4011PEP_B,28,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,05:51:00,05:51:00,P4010PEP_B,29,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,06:00:00,06:00:00,P4009PEP_B,30,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,06:03:00,06:03:00,P4006PEP_B,31,Anjo Voador (601),0,0
3　Weekday/Weekend_0400_trip10502001,06:05:00,06:05:00,P4007PEP_B,32,Anjo Voador (601),0,0
