stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
P0001601_T,,Anjo Voador (601),,-25.975539,32.570933,P0001601_T,,0,
P0002PEP_A,,Laurentina (Av. Guerra Popular),,-25.969672,32.566433,P0002PEP_A,,0,
P0002PEP_B,,Laurentina (Av. Guerra Popular),,-25.969516,32.566915,P0002PEP_B,,0,
P0003PEP_A,,Mercado Mandela (Av. Guerra Popular),,-25.965025,32.569769,P0003PEP_A,,0,
P0003PEP_B,,Mercado Mandela (Av. Guerra Popular),,-25.965157,32.569997,P0003PEP_B,,0,
P0005PEP_A,,Ponto Final,,-25.961482,32.572377,P0005PEP_A,,0,
P0005PEP_B,,Ponto Final,,-25.961431,32.57252,P0005PEP_B,,0,
P0005PEP_C,,Ponto Final,,-25.961894,32.571833,P0005PEP_C,,0,
P0005PEP_D,,Ponto Final,,-25.961917,32.572354,P0005PEP_D,,0,
P0005PEP_E,,Ponto Final,,-25.962087,32.572248,P0005PEP_E,,0,
P0006PEP_A,,Padaria (Av. Guerra Popular),,-25.959742,32.573759,P0006PEP_A,,0,
P0006PEP_B,,Padaria (Av. Guerra Popular),,-25.959269,32.574002,P0006PEP_B,,0,
P0007PEP_A,,6ª Esquadra,,-25.956536,32.5758,P0007PEP_A,,0,
P0007PEP_B,,6ª Esquadra,,-25.957284,32.575522,P0007PEP_B,,0,
P0008PEP_A,,Shoprite (Av. Acordos de Lusaka),,-25.951427,32.577685,P0008PEP_A,,0,
P0008PEP_B,,Shoprite (Av. Acordos de Lusaka),,-25.950849,32.577614,P0008PEP_B,,0,
P0009PEP_A,,Estaleiro (Av. Acordos de Lusaka),,-25.94578,32.578621,P0009PEP_A,,0,
P0009PEP_B,,Estaleiro (Av. Acordos de Lusaka),,-25.945789,32.578889,P0009PEP_B,,0,
P0010PEP_A,,Baltazar,,-25.939074,32.579034,P0010PEP_A,,0,
P0010PEP_B,,Baltazar,,-25.939003,32.579248,P0010PEP_B,,0,
P0011PEP_A,,Praça dos Heróis,,-25.935183,32.579248,P0011PEP_A,,0,
P0011PEP_B,,Praça dos Heróis,,-25.935126,32.579454,P0011PEP_B,,0,
P0012PEP_A,,Mavalane,,-25.932045,32.585082,P0012PEP_A,,0,
P0013PEP_A,,Agro-Alfa,,-25.931214,32.588224,P0013PEP_A,,0,
P0013PEP_B,,Agro-Alfa,,-25.931371,32.58841,P0013PEP_B,,0,
P0014PEP_A,,Sabrina,,-25.930022,32.592622,P0014PEP_A,,0,
P0014PEP_B,,Sabrina,,-25.930278,32.592605,P0014PEP_B,,0,
P0016PEP_A,,Soveste,,-25.928709,32.597669,P0016PEP_A,,0,
P0016PEP_B,,Soveste,,-25.928856,32.597828,P0016PEP_B,,0,
P0017PEP_A,,Praça dos Combatentes,,-25.926933,32.605488,P0017PEP_A,,0,
P0017PEP_B,,Praça dos Combatentes,,-25.925388,32.605856,P0017PEP_B,,0,
P0017PEP_C,,Praça dos Combatentes,,-25.928372,32.607052,P0017PEP_C,,0,
P0018PEP_A,,Rua do Complexo,,-25.918611,32.603813,P0018PEP_A,,0,
P0018PEP_B,,Rua do Complexo,,-25.918693,32.603567,P0018PEP_B,,0,
P0020PEP_A,,Casa Branca (Av. Julius Nyerere),,-25.913969,32.60154,P0020PEP_A,,0,
P0020PEP_B,,Casa Branca (Av. Julius Nyerere),,-25.913996,32.60144,P0020PEP_B,,0,
P0021PEP_C,,Hulene - Expresso,,-25.909587,32.600107,P0021PEP_C,,0,
P0021PEP_D,,Hulene - Expresso,,-25.909072,32.599554,P0021PEP_D,,0,
P0021PEP_E,,Hulene - Expresso,,-25.910512,32.600101,P0021PEP_E,,0,
P0022PEP_A,,Imaculada,,-25.905415,32.5991,P0022PEP_A,,0,
P0022PEP_B,,Imaculada,,-25.905427,32.598934,P0022PEP_B,,0,
P0023PEP_A,,1ª Rua(Hulene),,-25.897501,32.600176,P0023PEP_A,,0,
P0023PEP_B,,1ª Rua(Hulene),,-25.897435,32.600036,P0023PEP_B,,0,
P0024PEP_A,,Bombas-Xicanhanine,,-25.892017,32.602468,P0024PEP_A,,0,
P0024PEP_B,,Bombas-Xicanhanine,,-25.89199,32.60235,P0024PEP_B,,0,
P0026PEP_A,,Entrada da Escola,,-25.887063,32.603893,P0026PEP_A,,0,
P0026PEP_B,,Entrada da Escola,,-25.887024,32.603755,P0026PEP_B,,0,
P0027PEP_B,,Magoanine,,-25.881141,32.605054,P0027PEP_B,,0,
P0027PEP_C,,Magoanine,,-25.882672,32.605439,P0027PEP_C,,0,
P0031PEP_A,,Bila(Av. Sebastião Mabote),,-25.869018,32.611335,P0031PEP_A,,0,
P0031PEP_B,,Bila(Av. Sebastião Mabote),,-25.869164,32.611417,P0031PEP_B,,0,
P0032PEP_A,,Cajueiro 1 (Av. S. Mabote),,-25.866296,32.613364,P0032PEP_A,,0,
P0032PEP_B,,Cajueiro 1 (Av. S. Mabote),,-25.866429,32.613434,P0032PEP_B,,0,
P0033PEP_A,,Hospital (Av. Sebastião Mabote),,-25.864319,32.614859,P0033PEP_A,,0,
P0033PEP_B,,Hospital (Av. Sebastião Mabote),,-25.864451,32.614905,P0033PEP_B,,0,
P0034PEP_A,,Muswazi,,-25.861547,32.61694,P0034PEP_A,,0,
P0034PEP_B,,Muswazi,,-25.861651,32.616995,P0034PEP_B,,0,
P0035PEP_A,,Rua 9,,-25.8576,32.619944,P0035PEP_A,,0,
P0035PEP_B,,Rua 9,,-25.857796,32.619957,P0035PEP_B,,0,
P0036PEP_A,,Cajueiro 2 (Av. S. Mabote),,-25.855689,32.621404,P0036PEP_A,,0,
P0036PEP_B,,Cajueiro 2 (Av. S. Mabote),,-25.855737,32.621509,P0036PEP_B,,0,
P0037PEP_A,,Churrasqueiro,,-25.851548,32.623249,P0037PEP_A,,0,
P0037PEP_B,,Churrasqueiro,,-25.851467,32.62337,P0037PEP_B,,0,
P0038PEP_A,,Campo (CMC),,-25.847916,32.62349,P0038PEP_A,,0,
P0038PEP_B,,Campo (CMC),,-25.847931,32.623613,P0038PEP_B,,0,
P0040PEP_A,,CMC (Av. Sebastião Mabote),,-25.841622,32.623835,P0040PEP_A,,0,
P0040PEP_B,,CMC (Av. Sebastião Mabote),,-25.842395,32.623927,P0040PEP_B,,0,
P0044401_T,,Albazine (401),,-25.837268,32.638121,P0044401_T,,0,
P0044PEP_B,,Albazine,,-25.837249,32.636561,P0044PEP_B,,0,
P0044PEP_C,,Albazine,,-25.83766,32.638845,P0044PEP_C,,0,
P0049PEP_A,,Esquina da Rádio,,-25.906462,32.604831,P0049PEP_A,,0,
P0049PEP_B,,Esquina da Rádio,,-25.906523,32.604881,P0049PEP_B,,0,
P0050PEP_A,,1ª Rua(Laulane),,-25.906083,32.608804,P0050PEP_A,,0,
P0050PEP_B,,1ª Rua(Laulane),,-25.906158,32.608792,P0050PEP_B,,0,
P0051PEP_A,,Salão (Rua da Beira),,-25.906354,32.61029,P0051PEP_A,,0,
P0051PEP_B,,Salão (Rua da Beira),,-25.906417,32.610278,P0051PEP_B,,0,
P0052PEP_A,,Laulane,,-25.906961,32.613743,P0052PEP_A,,0,
P0052PEP_B,,Laulane,,-25.906907,32.613048,P0052PEP_B,,0,
P0056PEP_A,,Ronil,,-25.963905,32.575953,P0056PEP_A,,0,
P0056PEP_B,,Ronil,,-25.964245,32.576072,P0056PEP_B,,0,
P0059PEP_A,,Paragem 17,,-25.963475,32.571204,P0059PEP_A,,0,
P0059PEP_B,,Paragem 17,,-25.963388,32.570909,P0059PEP_B,,0,
P0061210_T,,Museu (210),,-25.975969,32.587812,P0061210_T,,0,
P0061222_T,,Museu (222),,-25.97619,32.587415,P0061222_T,,0,
P0062PEP_A,,Oftamologia,,-25.971458,32.589803,P0062PEP_A,,0,
P0085PEP_A,,Belita,,-25.960191,32.56883,P0085PEP_A,,0,
P0085PEP_B,,Belita,,-25.960121,32.56924,P0085PEP_B,,0,
P0087PEP_B,,Jardim dos Madgermanes,,-25.962226,32.567876,P0087PEP_B,,0,
P0088PEP_A,,Mercado Mandela (Av. Albert Lithule),,-25.964097,32.568296,P0088PEP_A,,0,
P0089PEP_A,,Albert Lithule,,-25.968769,32.564986,P0089PEP_A,,0,
P0090PEP_B,,Vitória,,-25.968465,32.567315,P0090PEP_B,,0,
P0095PEP_A,,Estaleiro 1 (Grande Maputo),,-25.823932,32.594075,P0095PEP_A,,0,
P0095PEP_B,,Estaleiro 1 (Grande Maputo),,-25.824601,32.595099,P0095PEP_B,,0,
P0100PEP_B,,Bassopa,,-25.971306,32.591758,P0100PEP_B,,0,
P0101PEP_C,,3 de Fevereiro,,-25.97307,32.591074,P0101PEP_C,,0,
P0109PEP_A,,Esquina (Av. Nelson Mandela),,-25.845363,32.600667,P0109PEP_A,,0,
