route_id,service_id,trip_id,trip_headsign,direction_id,block_id,trip_short_name,shape_id
1,Weekday/Weekend,3　Weekday/Weekend_0520_trip10001001,Terminal de Chamissava,0,,,10001
1,Weekday/Weekend,3　Weekday/Weekend_0840_trip10001001,Terminal de Chamissava,0,,,10001
1,Weekday/Weekend,3　Weekday/Weekend_1200_trip10001001,Terminal de Chamissava,0,,,10001
1,Weekday/Weekend,3　Weekday/Weekend_1520_trip10001001,Terminal de Chamissava,0,,,10001
1,Weekday/Weekend,3　Weekday/Weekend_1840_trip10001001,Terminal de Chamissava,0,,,10001
1,Weekday/Weekend,3　Weekday/Weekend_2200_trip10001001,Terminal de Chamissava,0,,,10001
1B,Weekday/Weekend,3　Weekday/Weekend_0650_trip10002001,Anjo Voador (601),1,,,10002
1B,Weekday/Weekend,3　Weekday/Weekend_1010_trip10002001,Anjo Voador (601),1,,,10002
1B,Weekday/Weekend,3　Weekday/Weekend_1330_trip10002001,Anjo Voador (601),1,,,10002
1B,Weekday/Weekend,3　Weekday/Weekend_1650_trip10002001,Anjo Voador (601),1,,,10002
1B,Weekday/Weekend,3　Weekday/Weekend_2010_trip10002001,Anjo Voador (601),1,,,10002
1B,Weekday/Weekend,3　Weekday/Weekend_2330_trip10002001,Anjo Voador (601),1,,,10002
1C,Weekday/Weekend,3　Weekday/Weekend_0520_trip10401001,Zona 5,0,,,10401
1C,Weekday/Weekend,3　Weekday/Weekend_0840_trip10401001,Zona 5,0,,,10401
1C,Weekday/Weekend,3　Weekday/Weekend_1200_trip10401001,Zona 5,0,,,10401
1C,Weekday/Weekend,3　Weekday/Weekend_1520_trip10401001,Zona 5,0,,,10401
1C,Weekday/Weekend,3　Weekday/Weekend_1840_trip10401001,Zona 5,0,,,10401
1C,Weekday/Weekend,3　Weekday/Weekend_2200_trip10401001,Zona 5,0,,,10401
1D,Weekday/Weekend,3　Weekday/Weekend_0700_trip10402001,Anjo Voador (601),1,,,10402
1D,Weekday/Weekend,3　Weekday/Weekend_1020_trip10402001,Anjo Voador (601),1,,,10402
